epochs,learning_rate,momentum,output function,hidden function,nb hidden layers,nb neurons,P@1,P@2,P@3,P@4,P@5,P@6,P@7,P@8,P@9,P@10,P_Mean,P_Var,NDCG@1,NDCG@2,NDCG@3,NDCG@4,NDCG@5,NDCG@6,NDCG@7,NDCG@8,NDCG@9,NDCG@10,NDCG_Mean,NDCG_Var
100,0.001,0.01,Sigmoid,ReLu,1.0,15.0,0.1371,0.1967,0.2232,0.2372,0.2499,0.2574,0.2601,0.265,0.2684,0.272,0.2367,0.0015904820000000003,0.1088,0.164,0.185,0.1973,0.2108,0.222,0.2304,0.2401,0.2485,0.2568,0.20637,0.0018151260999999998
100,0.001,0.01,Sigmoid,ReLu,1.0,46.0,0.1371,0.1967,0.2232,0.2372,0.2499,0.2574,0.2601,0.265,0.2684,0.272,0.2367,0.0015904820000000003,0.1088,0.164,0.185,0.1973,0.2108,0.222,0.2304,0.2401,0.2485,0.2568,0.20637,0.0018151260999999998
100,0.001,0.1,Identity,Identity,1.0,15.0,0.2682,0.2658,0.2709,0.2739,0.2744,0.271,0.2719,0.2727,0.271,0.2724,0.27122,6.003599999999987e-06,0.217,0.2216,0.2305,0.2384,0.2457,0.2503,0.2559,0.262,0.2665,0.2736,0.24615,0.0003288745000000002
100,0.001,0.1,Identity,Identity,1.0,46.0,0.3501,0.3565,0.3583,0.3553,0.3517,0.3516,0.3478,0.3466,0.3444,0.3425,0.35047999999999996,2.4639599999999963e-05,0.2798,0.305,0.3163,0.3221,0.328,0.3369,0.3432,0.3497,0.3561,0.3627,0.32998000000000005,0.0005759576000000003
100,0.001,0.1,Identity,Sigmoid,1.0,15.0,0.1371,0.1967,0.2232,0.2372,0.2499,0.2574,0.2601,0.265,0.2684,0.272,0.2367,0.0015904820000000003,0.1088,0.164,0.185,0.1973,0.2108,0.222,0.2304,0.2401,0.2485,0.2568,0.20637,0.0018151260999999998
100,0.001,0.1,Identity,Sigmoid,1.0,46.0,0.1371,0.1967,0.2232,0.2372,0.2499,0.2574,0.2601,0.265,0.2684,0.272,0.2367,0.0015904820000000003,0.1088,0.164,0.185,0.1973,0.2108,0.222,0.2304,0.2401,0.2485,0.2568,0.20637,0.0018151260999999998
100,0.001,0.1,Identity,ReLu,1.0,15.0,0.1371,0.1967,0.2232,0.2372,0.2499,0.2574,0.2601,0.265,0.2684,0.272,0.2367,0.0015904820000000003,0.1088,0.164,0.185,0.1973,0.2108,0.222,0.2304,0.2401,0.2485,0.2568,0.20637,0.0018151260999999998
100,0.001,0.1,Identity,ReLu,1.0,46.0,0.1371,0.1967,0.2232,0.2372,0.2499,0.2574,0.2601,0.265,0.2684,0.272,0.2367,0.0015904820000000003,0.1088,0.164,0.185,0.1973,0.2108,0.222,0.2304,0.2401,0.2485,0.2568,0.20637,0.0018151260999999998
100,0.001,0.1,Sigmoid,Identity,1.0,15.0,0.1371,0.1967,0.2232,0.2372,0.2499,0.2574,0.2601,0.265,0.2684,0.272,0.2367,0.0015904820000000003,0.1088,0.164,0.185,0.1973,0.2108,0.222,0.2304,0.2401,0.2485,0.2568,0.20637,0.0018151260999999998
100,0.001,0.1,Sigmoid,Identity,1.0,46.0,0.1371,0.1967,0.2232,0.2372,0.2499,0.2574,0.2601,0.265,0.2684,0.272,0.2367,0.0015904820000000003,0.1088,0.164,0.185,0.1973,0.2108,0.222,0.2304,0.2401,0.2485,0.2568,0.20637,0.0018151260999999998
100,0.001,0.1,Sigmoid,Sigmoid,1.0,15.0,0.1371,0.1967,0.2232,0.2372,0.2499,0.2574,0.2601,0.265,0.2684,0.272,0.2367,0.0015904820000000003,0.1088,0.164,0.185,0.1973,0.2108,0.222,0.2304,0.2401,0.2485,0.2568,0.20637,0.0018151260999999998
100,0.001,0.1,Sigmoid,Sigmoid,1.0,46.0,0.1371,0.1967,0.2232,0.2372,0.2499,0.2574,0.2601,0.265,0.2684,0.272,0.2367,0.0015904820000000003,0.1088,0.164,0.185,0.1973,0.2108,0.222,0.2304,0.2401,0.2485,0.2568,0.20637,0.0018151260999999998
100,0.001,0.1,Sigmoid,ReLu,1.0,15.0,0.1371,0.1967,0.2232,0.2372,0.2499,0.2574,0.2601,0.265,0.2684,0.272,0.2367,0.0015904820000000003,0.1088,0.164,0.185,0.1973,0.2108,0.222,0.2304,0.2401,0.2485,0.2568,0.20637,0.0018151260999999998
100,0.001,0.1,Sigmoid,ReLu,1.0,46.0,0.1371,0.1967,0.2232,0.2372,0.2499,0.2574,0.2601,0.265,0.2684,0.272,0.2367,0.0015904820000000003,0.1088,0.164,0.185,0.1973,0.2108,0.222,0.2304,0.2401,0.2485,0.2568,0.20637,0.0018151260999999998
100,0.001,0.3,Identity,Identity,1.0,15.0,0.2781,0.2668,0.2676,0.2707,0.2767,0.2783,0.2768,0.2779,0.279,0.2778,0.27497,1.9936100000000034e-05,0.2143,0.2156,0.2243,0.2298,0.2387,0.2452,0.2507,0.2567,0.2626,0.2677,0.24056000000000002,0.0003303403999999998
100,0.001,0.3,Identity,Identity,1.0,46.0,0.3964,0.3782,0.3679,0.3624,0.356,0.3511,0.3457,0.3428,0.3403,0.3392,0.358,0.00031006399999999976,0.3353,0.3338,0.3363,0.3411,0.3446,0.3499,0.353,0.3588,0.3648,0.3711,0.34886999999999996,0.00015125210000000006
100,0.001,0.3,Identity,Sigmoid,1.0,15.0,0.1371,0.1967,0.2232,0.2372,0.2499,0.2574,0.2601,0.265,0.2684,0.272,0.2367,0.0015904820000000003,0.1088,0.164,0.185,0.1973,0.2108,0.222,0.2304,0.2401,0.2485,0.2568,0.20637,0.0018151260999999998
100,0.001,0.3,Identity,Sigmoid,1.0,46.0,0.1371,0.1967,0.2232,0.2372,0.2499,0.2574,0.2601,0.265,0.2684,0.272,0.2367,0.0015904820000000003,0.1088,0.164,0.185,0.1973,0.2108,0.222,0.2304,0.2401,0.2485,0.2568,0.20637,0.0018151260999999998
100,0.001,0.3,Identity,ReLu,1.0,15.0,0.2564,0.2628,0.2584,0.2604,0.2584,0.2561,0.2574,0.2578,0.2574,0.259,0.25841000000000003,3.5368999999999818e-06,0.2117,0.2247,0.225,0.2296,0.2339,0.2375,0.2431,0.2495,0.2542,0.2608,0.23700000000000002,0.00020557399999999976
100,0.001,0.3,Identity,ReLu,1.0,46.0,0.1371,0.1967,0.2232,0.2372,0.2499,0.2574,0.2601,0.265,0.2684,0.272,0.2367,0.0015904820000000003,0.1088,0.164,0.185,0.1973,0.2108,0.222,0.2304,0.2401,0.2485,0.2568,0.20637,0.0018151260999999998
100,0.001,0.3,Sigmoid,Identity,1.0,15.0,0.1371,0.1967,0.2232,0.2372,0.2499,0.2574,0.2601,0.265,0.2684,0.272,0.2367,0.0015904820000000003,0.1088,0.164,0.185,0.1973,0.2108,0.222,0.2304,0.2401,0.2485,0.2568,0.20637,0.0018151260999999998
100,0.001,0.3,Sigmoid,Identity,1.0,46.0,0.1371,0.1967,0.2232,0.2372,0.2499,0.2574,0.2601,0.265,0.2684,0.272,0.2367,0.0015904820000000003,0.1088,0.164,0.185,0.1973,0.2108,0.222,0.2304,0.2401,0.2485,0.2568,0.20637,0.0018151260999999998
100,0.001,0.3,Sigmoid,Sigmoid,1.0,15.0,0.1371,0.1967,0.2232,0.2372,0.2499,0.2574,0.2601,0.265,0.2684,0.272,0.2367,0.0015904820000000003,0.1088,0.164,0.185,0.1973,0.2108,0.222,0.2304,0.2401,0.2485,0.2568,0.20637,0.0018151260999999998
100,0.001,0.3,Sigmoid,Sigmoid,1.0,46.0,0.1371,0.1967,0.2232,0.2372,0.2499,0.2574,0.2601,0.265,0.2684,0.272,0.2367,0.0015904820000000003,0.1088,0.164,0.185,0.1973,0.2108,0.222,0.2304,0.2401,0.2485,0.2568,0.20637,0.0018151260999999998
100,0.001,0.3,Sigmoid,ReLu,1.0,15.0,0.1371,0.1967,0.2232,0.2372,0.2499,0.2574,0.2601,0.265,0.2684,0.272,0.2367,0.0015904820000000003,0.1088,0.164,0.185,0.1973,0.2108,0.222,0.2304,0.2401,0.2485,0.2568,0.20637,0.0018151260999999998
100,0.001,0.3,Sigmoid,ReLu,1.0,46.0,0.1371,0.1967,0.2232,0.2372,0.2499,0.2574,0.2601,0.265,0.2684,0.272,0.2367,0.0015904820000000003,0.1088,0.164,0.185,0.1973,0.2108,0.222,0.2304,0.2401,0.2485,0.2568,0.20637,0.0018151260999999998
100,0.075,0.01,Identity,Identity,1.0,15.0,0.1499,0.181,0.1959,0.2113,0.2213,0.2288,0.2377,0.2431,0.2485,0.2512,0.21686999999999998,0.0009705260999999998,0.1223,0.146,0.1592,0.1719,0.1817,0.1902,0.1989,0.2065,0.2155,0.2229,0.18151,0.0009227788999999996
