epochs,learning_rate,Opti_method,P@1,P@2,P@3,P@4,P@5,P@6,P@7,P@8,P@9,P@10,P_Mean,P_Var,NDCG@1,NDCG@2,NDCG@3,NDCG@4,NDCG@5,NDCG@6,NDCG@7,NDCG@8,NDCG@9,NDCG@10,NDCG_Mean,NDCG_Var
1500,0.001,P@10,0.4086,0.382,0.35869999999999996,0.34492,0.32965999999999995,0.31038,0.29068000000000005,0.27296,0.25548,0.24086,0.319424,0.002749359264,0.34508,0.3758,0.3996,0.4263199999999999,0.44744,0.46262,0.47042,0.43716,0.20692,0.21189999999999998,0.378326,0.008477028244
1500,0.001,ERR@10,0.41028000000000003,0.3841200000000001,0.36095999999999995,0.34662000000000004,0.33070000000000005,0.31178,0.29140000000000005,0.2739,0.25646,0.24152,0.32077399999999995,0.002796387844000001,0.34822,0.37770000000000004,0.4016,0.42806,0.44976000000000005,0.4648,0.47248,0.43938000000000005,0.20915999999999996,0.2141,0.38052600000000003,0.008463396324000002
1500,1e-05,NDCG@5,0.41242,0.38349999999999995,0.36438,0.3482,0.33106,0.31184,0.29168000000000005,0.27427999999999997,0.2571,0.24123999999999998,0.32157,0.0028554679399999997,0.35144000000000003,0.37732,0.40409999999999996,0.4288600000000001,0.44939999999999997,0.46486,0.47187999999999997,0.43888000000000005,0.20876,0.21294,0.380844,0.008494239184
1500,1e-05,NDCG@10,0.41114000000000006,0.38838,0.3642,0.34822,0.3317,0.3122,0.29067999999999994,0.27338,0.25628,0.24196,0.321814,0.002908072324000001,0.34934000000000004,0.3796,0.40438,0.42904,0.45056,0.46532,0.47198,0.4393000000000001,0.20978,0.21508,0.381438,0.008432730436000003
1500,1e-05,P@5,0.40518,0.382,0.36096,0.34618,0.33324,0.31276,0.29247999999999996,0.27444,0.25686,0.24203999999999998,0.320614,0.002658417684000001,0.34564000000000006,0.37694000000000005,0.40198,0.42645999999999995,0.45146,0.46597999999999995,0.47324,0.43986000000000003,0.2092,0.21406,0.380482,0.008531403476
1500,1e-05,P@10,0.41326,0.38902000000000003,0.36366,0.34950000000000003,0.33342,0.3134,0.29196,0.27476,0.2575,0.24176000000000003,0.322824,0.0029242187040000004,0.35262000000000004,0.3811,0.40490000000000004,0.43023999999999996,0.45228,0.46796,0.47475999999999996,0.44172,0.21212,0.21614,0.383384,0.008456439744
1500,1e-05,ERR@10,0.4107,0.38904,0.36506000000000005,0.3501,0.33146000000000003,0.31292,0.29231999999999997,0.27446000000000004,0.25651999999999997,0.24226,0.32248399999999994,0.0028962472640000013,0.3478,0.38171999999999995,0.40700000000000003,0.43150000000000005,0.45221999999999996,0.46746,0.47524,0.44196,0.21008,0.21522000000000002,0.38302,0.00861297784
2000,0.001,NDCG@5,0.40687999999999996,0.38434,0.36208,0.34693999999999997,0.33196,0.31314,0.29172000000000003,0.27365999999999996,0.25622,0.24218,0.320912,0.0027437038559999993,0.34676,0.37786,0.40346000000000004,0.42851999999999996,0.45011999999999996,0.4657400000000001,0.47307999999999995,0.43967999999999996,0.20868000000000003,0.21383999999999997,0.38077400000000006,0.008546148723999999
2000,0.001,NDCG@10,0.40392,0.38008,0.3584,0.34617999999999993,0.33120000000000005,0.31092000000000003,0.2902,0.27325999999999995,0.25586,0.24096,0.319098,0.002644580436,0.33982,0.37066000000000004,0.39662000000000003,0.42438000000000003,0.44749999999999995,0.46175999999999995,0.46912000000000004,0.43610000000000004,0.2064,0.21126,0.37636200000000003,0.008475580596
2000,0.001,P@5,0.39966,0.38072000000000006,0.36151999999999995,0.348,0.32992,0.31162,0.29125999999999996,0.27298,0.25608000000000003,0.24128,0.319304,0.0026023803840000007,0.33954,0.37263999999999997,0.40064,0.42796,0.44795999999999997,0.46364,0.4708,0.43748000000000004,0.20726,0.21214,0.378006,0.008555648084
2000,0.001,P@10,0.40431999999999996,0.3816,0.35940000000000005,0.34606,0.33086000000000004,0.31194,0.2914,0.27444,0.25598,0.24158,0.31975799999999993,0.002646015396,0.34028,0.37186,0.3981,0.42566,0.4474600000000001,0.46312,0.47093999999999997,0.43810000000000004,0.20836000000000002,0.21386000000000002,0.37777400000000005,0.008417510164
2000,0.001,ERR@10,0.40646000000000004,0.38180000000000003,0.36010000000000003,0.34681999999999996,0.33196000000000003,0.31276,0.2914,0.27416000000000007,0.25654,0.24167999999999998,0.32036800000000004,0.0026896458560000014,0.3452,0.37254,0.3983,0.42564,0.44867999999999997,0.46387999999999996,0.47074,0.4382,0.2082,0.21298,0.37843600000000005,0.008444483503999999
2000,1e-05,NDCG@5,0.41454,0.38774000000000003,0.36480000000000007,0.3499,0.3362,0.31538,0.2933,0.27498,0.25748,0.24222000000000002,0.323654,0.002927600564000001,0.3496,0.37858,0.4053000000000001,0.43064,0.45376000000000005,0.46781999999999996,0.47454,0.44092000000000003,0.20994000000000002,0.21425999999999998,0.382536,0.008625846224000002
2000,1e-05,NDCG@10,0.41156,0.38476,0.36296000000000006,0.34674000000000005,0.33068,0.3125,0.29206,0.27386,0.25617999999999996,0.24087999999999998,0.321218,0.0028535667560000014,0.34806,0.37860000000000005,0.40332000000000007,0.42982,0.45054,0.4659,0.4737400000000001,0.43966000000000005,0.20924,0.21349999999999997,0.381238,0.008561508436000002
2000,1e-05,P@5,0.41494,0.3873,0.36491999999999997,0.35128,0.3341,0.31436000000000003,0.2921,0.27352,0.25660000000000005,0.24139999999999998,0.323052,0.0029812931359999985,0.35402000000000006,0.38084,0.40584,0.43172000000000005,0.4535600000000001,0.46782,0.47428,0.4407,0.20956000000000002,0.2141,0.383244,0.008618233264
2000,1e-05,P@10,0.41326,0.38496,0.36506,0.34841999999999995,0.33137999999999995,0.31162,0.29054,0.27344,0.25594,0.24135999999999996,0.32159800000000005,0.0029253180360000004,0.35118,0.37792,0.40547999999999995,0.4291600000000001,0.44930000000000003,0.46525999999999995,0.47216,0.43994,0.20996,0.21494,0.38153000000000004,0.00841938778
2000,1e-05,ERR@10,0.41367999999999994,0.38498,0.36466,0.3501,0.3336,0.31266000000000005,0.29202,0.27308,0.25622,0.24194,0.322294,0.002923069843999999,0.35304,0.37821999999999995,0.40380000000000005,0.43072,0.45165999999999995,0.46631999999999996,0.47332,0.43911999999999995,0.21025999999999997,0.21518,0.382164,0.008458953423999998
