epochs,learning_rate,momentum,output function,hidden function,nb hidden layers,nb neurons,P@1,P@2,P@3,P@4,P@5,P@6,P@7,P@8,P@9,P@10,P_Mean,P_Var,NDCG@1,NDCG@2,NDCG@3,NDCG@4,NDCG@5,NDCG@6,NDCG@7,NDCG@8,NDCG@9,NDCG@10,NDCG_Mean,NDCG_Var
100,0.001,0.1,Sigmoid,ReLu,1.0,15.0,0.141,0.1571,0.2009,0.2212,0.2269,0.219,0.2161,0.2059,0.1966,0.1865,0.19712000000000002,0.0007261156000000003,0.1197,0.1544,0.1946,0.2382,0.2719,0.292,0.3121,0.2661,0.1,0.1059,0.20549000000000003,0.005913848899999999
100,0.001,0.1,Sigmoid,ReLu,1.0,46.0,0.141,0.1571,0.2009,0.2212,0.2269,0.219,0.2161,0.2059,0.1966,0.1865,0.19712000000000002,0.0007261156000000003,0.1197,0.1544,0.1946,0.2382,0.2719,0.292,0.3121,0.2661,0.1,0.1059,0.20549000000000003,0.005913848899999999
100,0.001,0.3,Identity,Identity,1.0,15.0,0.0705,0.0929,0.1068,0.1218,0.1359,0.1517,0.1667,0.1723,0.1624,0.1519,0.13329,0.0010585149,0.0449,0.0775,0.0974,0.126,0.1523,0.1872,0.2175,0.1945,0.0547,0.0593,0.12113,0.0036544461
100,0.001,0.3,Identity,Identity,1.0,46.0,0.2821,0.2949,0.2842,0.2708,0.2513,0.2404,0.2326,0.2308,0.213,0.2006,0.25007,0.0009223261,0.2222,0.2767,0.2972,0.3158,0.3277,0.3464,0.3594,0.3259,0.1349,0.1378,0.2744,0.006098588
100,0.001,0.3,Identity,Sigmoid,1.0,15.0,0.141,0.1571,0.2009,0.2212,0.2269,0.219,0.2161,0.2059,0.1966,0.1865,0.19712000000000002,0.0007261156000000003,0.1197,0.1544,0.1946,0.2382,0.2719,0.292,0.3121,0.2661,0.1,0.1059,0.20549000000000003,0.005913848899999999
100,0.001,0.3,Identity,Sigmoid,1.0,46.0,0.141,0.1571,0.2009,0.2212,0.2269,0.219,0.2161,0.2059,0.1966,0.1865,0.19712000000000002,0.0007261156000000003,0.1197,0.1544,0.1946,0.2382,0.2719,0.292,0.3121,0.2661,0.1,0.1059,0.20549000000000003,0.005913848899999999
100,0.001,0.3,Identity,ReLu,1.0,15.0,0.141,0.1571,0.2009,0.2212,0.2269,0.219,0.2161,0.2059,0.1966,0.1865,0.19712000000000002,0.0007261156000000003,0.1197,0.1544,0.1946,0.2382,0.2719,0.292,0.3121,0.2661,0.1,0.1059,0.20549000000000003,0.005913848899999999
100,0.001,0.3,Identity,ReLu,1.0,46.0,0.3526,0.3365,0.3291,0.3317,0.3154,0.2895,0.2647,0.2524,0.2343,0.2212,0.29274,0.0019808824000000004,0.2799,0.3157,0.3482,0.3788,0.4005,0.4178,0.4251,0.3847,0.1826,0.1876,0.33209,0.0072103209
100,0.001,0.3,Sigmoid,Identity,1.0,15.0,0.141,0.1571,0.2009,0.2212,0.2269,0.219,0.2161,0.2059,0.1966,0.1865,0.19712000000000002,0.0007261156000000003,0.1197,0.1544,0.1946,0.2382,0.2719,0.292,0.3121,0.2661,0.1,0.1059,0.20549000000000003,0.005913848899999999
100,0.001,0.3,Sigmoid,Identity,1.0,46.0,0.141,0.1571,0.2009,0.2212,0.2269,0.219,0.2161,0.2059,0.1966,0.1865,0.19712000000000002,0.0007261156000000003,0.1197,0.1544,0.1946,0.2382,0.2719,0.292,0.3121,0.2661,0.1,0.1059,0.20549000000000003,0.005913848899999999
100,0.001,0.3,Sigmoid,Sigmoid,1.0,15.0,0.141,0.1571,0.2009,0.2212,0.2269,0.219,0.2161,0.2059,0.1966,0.1865,0.19712000000000002,0.0007261156000000003,0.1197,0.1544,0.1946,0.2382,0.2719,0.292,0.3121,0.2661,0.1,0.1059,0.20549000000000003,0.005913848899999999
